,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
15,15,45,Medio,1,6,750000,-10216.422,82553.5767,72337.1547,1.363810294436839,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,50355.1918,347628.7093,13116.4268
16,16,50,Medio,1,6,750000,-8964.0359,120435.4107,111471.3748,1.9198756102881187,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,66664.147,403071.8847,13116.4268
17,17,55,Medio,1,6,750000,-7711.6499,158246.9233,150535.2734,2.4759409261393976,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,83043.4237,458515.06,13116.4268
18,18,60,Medio,1,6,750000,-6459.2639,196019.5233,189560.2594,3.032006241990676,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,99461.613,513958.2353,13116.4268
19,19,65,Medio,1,6,750000,-5206.8778,233781.8703,228574.9925,3.5880715578419546,149000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,5.9585,114366.0844,97453.8517,115890.0553,569401.4107,13116.4268
20,20,70,Medio,1,6,750000,-3954.4918,272035.1471,268080.6553,4.157331980666342,149000,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.9135,116224.9253,97453.8517,133113.4838,626796.9405,11924.0244
21,21,40,Medio,1,6,800000,-11468.808,38890.5214,27421.7134,0.6869549425713192,158600,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.4496,112108.8074,103661.8471,32320.6018,289941.0393,14428.0695
22,22,45,Medio,1,6,800000,-10216.422,77631.1962,67414.7742,1.2222489730550647,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,49069.5768,347628.7093,13116.4268
23,23,50,Medio,1,6,800000,-8964.0359,115513.0303,106548.9943,1.7450132385619095,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,65378.5321,403071.8847,13116.4268
24,24,55,Medio,1,6,800000,-7711.6499,153325.6132,145613.9633,2.267777504068754,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,81756.7385,458515.06,13116.4268
25,25,60,Medio,1,6,800000,-6459.2639,191098.2131,184638.9493,2.790541769575598,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,98174.9278,513958.2353,13116.4268
26,26,65,Medio,1,6,800000,-5206.8778,228860.5602,223653.6824,3.313306035082443,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,114603.37,569401.4107,13116.4268
