,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
20,20,70,Medio,1,6,750000,-1380.1428,270021.0514,268640.9086,4.136664838785685,149000,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,5.9135,116224.9253,97453.8517,133113.4838,626796.9405,11363.771
21,21,40,Medio,1,6,800000,-8894.459,36994.079,28099.62,0.6686604620273281,158600,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.4496,112108.8074,103661.8471,32320.6018,289941.0393,13750.163
22,22,45,Medio,1,6,800000,-7642.073,75673.1259,68031.0529,1.203359984706152,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,49069.5768,347628.7093,12500.1481
23,23,50,Medio,1,6,800000,-6389.687,113554.96,107165.273,1.7261242502129965,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,65378.5321,403071.8847,12500.1481
24,24,55,Medio,1,6,800000,-5137.3009,151367.5428,146230.2419,2.248888515719841,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,81756.7385,458515.06,12500.1481
25,25,60,Medio,1,6,800000,-3884.9149,189140.1428,185255.228,2.7716527812266856,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,98174.9278,513958.2353,12500.1481
26,26,65,Medio,1,6,800000,-2632.5288,226902.4899,224269.961,3.2944170467335305,158600,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.3424,114366.0844,103661.8471,114603.37,569401.4107,12500.1481
27,27,70,Medio,1,6,800000,-1380.1428,265101.2479,263721.1051,3.829045742989779,158600,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,6.2945,116224.9253,103661.8471,131825.292,626796.9405,11363.771
28,28,40,Medio,1,6,850000,-8894.459,32073.9237,23179.4646,0.5743759481702304,168200,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.84,112108.8074,109869.8425,31032.7618,289941.0393,13750.163
29,29,45,Medio,1,6,850000,-7642.073,70750.7454,63108.6725,1.0788632688212931,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,47783.9619,347628.7093,12500.1481
30,30,50,Medio,1,6,850000,-6389.687,108632.5795,102242.8926,1.5720897118081913,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,64092.9171,403071.8847,12500.1481
31,31,55,Medio,1,6,850000,-5137.3009,146446.2327,141308.9318,2.0653161547950893,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,80470.0532,458515.06,12500.1481
32,32,60,Medio,1,6,850000,-3884.9149,184218.8327,180333.9178,2.558542597781988,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,96888.2425,513958.2353,12500.1481
33,33,65,Medio,1,6,850000,-2632.5288,221981.1797,219348.6509,3.0517690407688867,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,113316.6848,569401.4107,12500.1481
34,34,70,Medio,1,6,850000,-1380.1428,260181.4443,258801.3015,3.5561895369126493,168200,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,6.6755,116224.9253,109869.8425,130537.1002,626796.9405,11363.771
35,35,40,Medio,1,6,900000,-8894.459,27153.7683,18259.3093,0.49017634725141324,177800,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,7.2304,112108.8074,116077.8379,29744.9217,289941.0393,13750.163
36,36,45,Medio,1,6,900000,-7642.073,65828.365,58186.292,0.9676830403365133,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,46498.347,347628.7093,12500.1481
37,37,50,Medio,1,6,900000,-6389.687,103710.1991,97320.5121,1.4345311019069276,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,62807.3022,403071.8847,12500.1481
38,38,55,Medio,1,6,900000,-5137.3009,141524.9226,136387.6217,1.9013791634773414,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,79183.368,458515.06,12500.1481
39,39,60,Medio,1,6,900000,-3884.9149,179297.5226,175412.6077,2.3682272250477556,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,95601.5573,513958.2353,12500.1481
40,40,65,Medio,1,6,900000,-2632.5288,217059.8696,214427.3408,2.83507528661817,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,112029.9995,569401.4107,12500.1481
41,41,70,Medio,1,6,900000,-1380.1428,255261.6407,253881.4979,3.312518729056144,177800,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.0565,116224.9253,116077.8379,129248.9084,626796.9405,11363.771
42,42,40,Medio,1,6,950000,-8894.459,22233.613,13339.154,0.4145257400441251,187400,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,7.6208,112108.8074,122285.8333,28457.0817,289941.0393,13750.163
43,43,45,Medio,1,6,950000,-7642.073,60905.9845,53263.9115,0.8677912154046099,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,45212.732,347628.7093,12500.1481
